nom,adresse,telephone,site_web,latitude,longitude
Au top paris,"93 Rue Vieille du Temple, 75003 Paris, France",,https://actedeux.paris/en,48.8601875,2.3607163
Chouchou,"23 Bd de Sébastopol, 75001 Paris, France",01 45 08 02 03,http://www.restaurantchouchouparis.fr/,48.85997440000001,2.3487234
Le Tout-Paris,"8 Quai du Louvre, 75001 Paris, France",01 79 35 50 22,https://www.letoutparis.fr/,48.8587493,2.3422529
Le Bistro des Augustins,"39 Quai des Grands Augustins, 75006 Paris, France",01 43 54 04 41,https://www.facebook.com/pages/Bistrot-Des-Augustins/106726426061804,48.8546972,2.3420468
Resto,"61 Rue Saint-André des Arts, 75006 Paris, France",,,48.8534969,2.3388999
Orgueil,"6 Rue Popincourt, 75011 Paris, France",01 83 97 34 80,https://bonaloi.com/fr/orgueil/,48.8571038,2.3777207
Sphere French restaurant Paris,"18 Rue La Boétie, 75008 Paris, France",01 44 90 02 95,https://restaurantsphere.com/,48.8742665,2.3169387
Les Baux de Paris,"71 Rue Mouffetard, 75005 Paris, France",01 47 07 91 58,https://www.instagram.com/lesbaux_paris/,48.8423157,2.349963599999999
La Petite Rose des Sables,"6 Rue de Lancry, 75010 Paris, France",01 40 18 35 30,,48.86894539999999,2.3602061
To Restaurant Paris,"34 Rue Beaurepaire, 75010 Paris, France",01 40 37 39 12,https://to-restaurant.com/,48.8714419,2.3644847
Le Bistrot du Forum,"12 Rue Montmartre, 75001 Paris, France",09 86 39 15 17,https://lebistrotduforum.metro.bar/,48.86369149999999,2.3459059
Restaurant Du Coin,"205 Quai de Valmy, 75010 Paris, France",06 63 44 34 67,,48.8821668,2.3687923
Les carrières,"14 Rue Simart, 75018 Paris, France",01 42 59 47 60,https://www.facebook.com/lescarrieres,48.8906863,2.3483323
Bistrotier du Coin,"21 Rue Réaumur, 75003 Paris, France",09 63 54 93 45,,48.8650604,2.357305
Le Jardin du Roy,"28 Rue de la Huchette, 75005 Paris, France",01 43 26 10 08,http://4sq.com/a4FDfl,48.85321729999999,2.3449898
Le Robinet d'Or Restaurant & Bar Canal Saint Martin,"7 Rue Eugène Varlin, 75010 Paris, France",01 44 65 14 50,http://lerobinetdor.com/,48.8781474,2.3647457
La Réserve Du Terroir - Restaurant Paris 4,"13 R. Quincampoix, 75004 Paris, France",01 47 07 55 14,https://www.lareserveduterroir.com/,48.859703,2.349799
Restaurant Julo,"38, bis Bd Voltaire, 75011 Paris, France",01 47 00 33 54,http://www.chezjulo.com/,48.863739,2.3697259
Le Bouchon,"28 Av. de Suffren, 75015 Paris, France",01 83 94 93 81,http://restaurant-lebeaujolais.fr/fr,48.855,2.294444399999999
Bistrot du Jardin,"33 Rue Berger, 75001 Paris, France",09 85 12 30 66,https://bistrot-du-jardin.fr/,48.86173729999999,2.344034600000001
